Exp,Cm (g/l),Cv (%),rho_x (g/cc),H0(cm),Fr,E
,,,,,,
1,50,1.9,1.0407,15,1.3516350086311,0.01003903927333
2,100,3.7,1.0566,15,1.49819395319702,0.0106602496223788
3,150,5.4,1.0899,15,1.99862574876813,0.0165377523612185
4,200,7,1.1071,15,1.96653788617049,0.0156685230009992
5,250,8.7,1.1317,15,1.99696597766282,0.0163591797488167
6,300,10.2,1.1583,15,1.99189320610086,0.0165612836784371
7,350,11.8,1.1708,15,2.06198112758381,0.0193820989051635
8,400,13.2,1.1983,15,1.97928170555355,0.0217162821342582
9,50,1.9,1.0366,21,1.55270280995865,0.0138593384587107
10,100,3.7,1.0595,21,1.73514517236506,0.0159748626046838
11,150,5.4,1.0895,21,1.76870048220794,0.0158881603991294
12,200,7,1.1069,21,1.94235124460466,0.0199302164898916
13,250,8.7,1.1325,21,1.88867717007054,0.018014023579325
14,300,10.2,1.1572,21,2.07314869873921,0.0237407272446018
15,350,11.8,1.1757,21,1.97596143129078,0.0241319435908554
16,400,13.2,1.1937,21,1.88519101867578,0.0309060907835504
17,50,1.9,1.0325,21,1.60496415458097,0.0151894101731666
18,100,3.7,1.0584,25,1.85300368989712,0.01801086379785
19,150,5.4,1.0945,25,1.96115280553663,0.0176816379207545
20,200,7,1.1089,25,1.88696762082476,0.0176160956191485
21,250,8.7,1.1333,25,1.95761826673925,0.0182558851192105
22,300,10.2,1.1585,25,2.09910009812229,0.0216455143036357
23,350,11.8,1.1806,25,2.16883921236692,0.0264575815060411
24,400,13.2,1.1891,25,2.01417130346652,0.0268927709086722
